guid,German,"German Definition","German Example",English,"English Example",tags
P8amN*{8~M,"das Verpackungskonzept",,,"packaging concept",,"Lektion_2 Sprechen_1"
M03eX)R`:L,"die Aufschrift",,,"label, inscription",,"Lektion_2 Sprechen_1"
SuaAXyg!%o,"der/die Angestellte/-",,,employee,,"Lektion_2 Sprechen_1"
Xsq!6c0bP|,"die Verkehrsgesellschaft",,,"transport company",,"Lektion_2 Sprechen_1"
4rKHcAyKYn,renovieren,,,"to renovate",,"Lektion_2 Sprechen_1"
PJodM4~hT;,ungewöhnlich,,,"unusual, odd",,"Lektion_2 Sprechen_1"
*H}!eI^g;7,indisch,,,indian,,"Lektion_2 Sprechen_1"
.t%||FHWt`,"der/die Ladenbesitzer/-in",,,"shop owner",,"Lektion_2 Sprechen_1"
Kh;v<=?DCy,verteilen,,,"to distribute, to spread",,"Lektion_2 Sprechen_1"
i>VtD;Z>N,"die Berufswahl",,,"career choice",,"Lektion_2 Sprechen_1"
#/cWhmeR_D,"[in einer Firma] tätig sein",,,"to work [at a company]",,"Lektion_2 Sprechen_1"
%VQ#cjCxaW,"der/die Auszubildende",,,"apprentice, trainee",,"Lektion_2 Wortschatz"
9xT{3pnQX.,festlegen,,,"to determinne, to decide, to specify",,"Lektion_2 Wortschatz"
5F6>6[PG0V,erledigen,,,"to do, to carry out",,"Lektion_2 Wortschatz"
+6<#Np|b]],recherchieren,,,"to investigate, to research, to search online",,"Lektion_2 Wortschatz"
KCSReame=a,verhandeln,,,"to negotiate, to debate",,"Lektion_2 Wortschatz"
L/WtQ_*|9q,erstellen,,,"to create",,"Lektion_2 Wortschatz"
9O^{BbmF>j,benennen,,,"to name, to label, to designate",,"Lektion_2 Wortschatz"
!IM1nPn$W{,"(sich) an jemand wenden",,,"to turn to [sb.], to call on [sb.]",,"Lektion_2 Hören"
P<Zbq>`}h@,entspannen,,,"to relax",,"Lektion_2 Hören"
/@Y7.nb0Jd,"die Veränderung",,,"change, modification",,"Lektion_2 Hören"
K>)SF^JF*},reagieren,,,"to react",,"Lektion_2 Hören"
N9lj01ssR3,anstrengend,,,"strenuous, demanding, exhausting",,"Lektion_2 Hören"
&1<jWs=ej%,"der/die Geschäftsführer/in",,,"business executive",,"Lektion_2 Hören"
Sgw>puj_}g,sogenannt,,,so-called,,"Lektion_2 Hören"
S+mFqvkl4W,"die Wirkung",,,effect (2),,"Lektion_2 Hören"
%AV;Un4zE^,"solcher, solches, solche, solch",,,such,,"Lektion_2 Hören"
<6#pA9O^yL,unterstützen,,,"to support",,"Lektion_2 Hören"
"40g]c,JK;F",herstellen,,,"to manufacture, to produce",,"Lektion_2 Hören"
$!FLA/)Cq9,betreuen,,,"to supervise, to mentor",,"Lektion_2 Lesen_1"
Z<Ed1i%)mx,deren,,,"whose, her/their",,"Lektion_2 Lesen_1"
"U9S<nDPG$,",verfassen,,,"to write, to draft",,"Lektion_2 Lesen_1"
Ok&y@GN!cl,aussehen,,,"to look [+adj]",,"Lektion_2 Lesen_1"
"=J!i-)}.,G","der Werbespot",,,commercial,,"Lektion_2 Lesen_1"
hAG%tc^sl,fröhlich,,,"cheerful, merry, happy",,"Lektion_2 Lesen_1"
k~G1V>Gkyq,lümmeln,,,"sprawl (way of sitting), to slouch",,"Lektion_2 Lesen_1"
#p|?I}=FiJ,zapfen,,,"to tap, to draw (drinks)",,"Lektion_2 Lesen_1"
