erneut,"again, anew",Lektion_2 Lesen_1,
die Fanseite,fan page,Lektion_2 Lesen_1,
abfliegen,"to depart, to leave (by air)",Lektion_2 Lesen_1,
abschließen,to complete,Lektion_2 Lesen_1,
aufnehmen,"to gather, to record, to incorporate",Lektion_2 Lesen_1,
ausgeben,to spend,Lektion_2 Lesen_1,
hinweisen,to point [sth.] out,Lektion_2 Lesen_1,
der Lebenslauf,cv,Lektion_2,
das Bewerbungsfoto,application photo,Lektion_2,
die Berufsausbildung,job training,Lektion_2,
der Arbeitsvertrag,employment contract,Lektion_2,
das Anfangsgehalt,starting salary,Lektion_2,
der Personalchef,staff manager,Lektion_2,
die Aufstiegschance,opportunity for promotion/advancement,Lektion_2,
der Traumjob,dream job,Lektion_2,
auswendig,"memorized, by heart",Lektion_2 Sprechen_1,
(etwas) vorhaben,"to intend, to plan [sth.]",Lektion_2,
aufrechterhalten,"to uphold, to maintain",Lektion_2,
die Mimik,facial expression(s),Lektion_2,
die Gestik,"gesticulation, gestures",Lektion_2,
die Geste,gesture,Lektion_2,
einsetzen,"to apply [sth.], to employ [sth.]",Lektion_2,
der Sachbearbeiter,"clerk, case worker",Lektion_2,
erlernen,"to learn, to master [sth.]",Lektion_2,
sich bemühen,"to endeavor, to strive, to attempt",Lektion_2,
die Aufschrift,,Lektion_2 Lesen_1,
aufschreibenn,,Lektion_2 Lesen_1,
die Ausgabe,,Lektion_2 Lesen_1,
ausgeben,,Lektion_2 Lesen_1,
der Umzug,,Lektion_2 Lesen_1,
umziehen,,Lektion_2 Lesen_1,
der Umsatz,,Lektion_2 Lesen_1,
umsetzen,,Lektion_2 Lesen_1,
der Rückblick,,Lektion_2 Lesen_1,
zurückblicken,,Lektion_2 Lesen_1,
abfliegen,,Lektion_2 Lesen_1,
der Abflug,,Lektion_2 Lesen_1,
absagen,,Lektion_2 Lesen_1,
die Absage,,Lektion_2 Lesen_1,
abschließen,,Lektion_2 Lesen_1,
der Abschluss,,Lektion_2 Lesen_1,
aufgeben,,Lektion_2 Lesen_1,
die Aufgabe,,Lektion_2 Lesen_1,
aufnehmen,,Lektion_2 Lesen_1,
die Aufnahme,,Lektion_2 Lesen_1,
ausdrucken,,Lektion_2 Lesen_1,
der Ausdruck,,Lektion_2 Lesen_1,
ausgeben,,Lektion_2 Lesen_1,
die Ausgabe,,Lektion_2 Lesen_1,
hinweisen,,Lektion_2 Lesen_1,
der Hinweis,,Lektion_2 Lesen_1,
zurückfahren,,Lektion_2 Lesen_1,
die Rückfahrt,,Lektion_2 Lesen_1,
umtauschen,,Lektion_2 Lesen_1,
der Umtausch,,Lektion_2 Lesen_1,
